xi	eta	x	y	stress_vm
 0.0000000000e+00	 0.0000000000e+00	 7.0710678119e+00	 7.0710678119e+00	 1.2747715249e+00
 0.0000000000e+00	 1.0000000000e-01	 7.0710678119e+00	 7.0710678119e+00	 1.2747715249e+00
 0.0000000000e+00	 2.0000000000e-01	 7.0710678119e+00	 7.0710678119e+00	 1.2747715249e+00
 0.0000000000e+00	 3.0000000000e-01	 7.0710678119e+00	 7.0710678119e+00	 1.2747715249e+00
 0.0000000000e+00	 4.0000000000e-01	 7.0710678119e+00	 7.0710678119e+00	 1.2747715249e+00
 0.0000000000e+00	 5.0000000000e-01	 7.0710678119e+00	 7.0710678119e+00	 1.2747715249e+00
 0.0000000000e+00	 6.0000000000e-01	 7.0710678119e+00	 7.0710678119e+00	 1.2747715249e+00
 0.0000000000e+00	 7.0000000000e-01	 7.0710678119e+00	 7.0710678119e+00	 1.2747715249e+00
 0.0000000000e+00	 8.0000000000e-01	 7.0710678119e+00	 7.0710678119e+00	 1.2747715249e+00
 0.0000000000e+00	 9.0000000000e-01	 7.0710678119e+00	 7.0710678119e+00	 1.2747715249e+00
 0.0000000000e+00	 1.0000000000e+00	 7.0710678119e+00	 7.0710678119e+00	 1.2747715249e+00
 5.0000000000e-02	 0.0000000000e+00	 7.0746033458e+00	 7.0746033458e+00	 3.5700533429e+01
 5.0000000000e-02	 1.0000000000e-01	 7.0742497924e+00	 7.0749568992e+00	 3.4348954736e+01
 5.0000000000e-02	 2.0000000000e-01	 7.0738962390e+00	 7.0753104526e+00	 3.3168224313e+01
 5.0000000000e-02	 3.0000000000e-01	 7.0735426856e+00	 7.0756640060e+00	 3.2154258911e+01
 5.0000000000e-02	 4.0000000000e-01	 7.0731891322e+00	 7.0760175594e+00	 3.1302877467e+01
 5.0000000000e-02	 5.0000000000e-01	 7.0728355789e+00	 7.0763711128e+00	 3.0610009771e+01
 5.0000000000e-02	 6.0000000000e-01	 7.0724820255e+00	 7.0767246661e+00	 3.0071929534e+01
 5.0000000000e-02	 7.0000000000e-01	 7.0721284721e+00	 7.0770782195e+00	 2.9685491379e+01
